Invoice No.,Invoice Date,Due Date,Customer Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Status,summary
AR-1013,2025-11-06,2025-12-08,Alpha Trading LLC,Annual Maintenance Contract,45000,Not paid,TRN12345,5,,overdue (11 days ago),"Invoice record: Invoice No. AR-1013, issued on 2025-11-06, from Alpha Trading LLC for Annual Maintenance Contract. The original amount is 45000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-08 and paid date recorded as nan. Status: overdue (11 days ago). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1015,2025-11-10,2026-01-03,Orion Logistics LLC,Cross-Border Shipping,15800,Not paid,TRN34567,5,,future (15 days remaining),"Invoice record: Invoice No. AR-1015, issued on 2025-11-10, from Orion Logistics LLC for Cross-Border Shipping. The original amount is 15800 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-03 and paid date recorded as nan. Status: future (15 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1017,2025-11-14,2025-12-19,Zenith Constructions,Building Maintenance,17600,Paid,TRN56789,5,2025-12-13,paid,"Invoice record: Invoice No. AR-1017, issued on 2025-11-14, from Zenith Constructions for Building Maintenance. The original amount is 17600 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-19 and paid date recorded as 2025-12-13. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1061,2025-12-27,2026-01-05,Skyline Infrastructure LLC,HVAC Overhaul Services,18900,Not paid,TRN88992,5,,future (17 days remaining),"Invoice record: Invoice No. AR-1061, issued on 2025-12-27, from Skyline Infrastructure LLC for HVAC Overhaul Services. The original amount is 18900 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN88992 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-05 and paid date recorded as nan. Status: future (17 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1063,2025-12-28,2026-01-07,Skyline Infrastructure LLC,Electrical Compliance Testing,14200,Not paid,TRN88992,5,,future (19 days remaining),"Invoice record: Invoice No. AR-1063, issued on 2025-12-28, from Skyline Infrastructure LLC for Electrical Compliance Testing. The original amount is 14200 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN88992 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-07 and paid date recorded as nan. Status: future (19 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1019,2025-11-18,2025-12-11,Alpha Trading LLC,Staff Training Program,22000,Paid,TRN12345,5,2025-12-10,paid,"Invoice record: Invoice No. AR-1019, issued on 2025-11-18, from Alpha Trading LLC for Staff Training Program. The original amount is 22000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-11 and paid date recorded as 2025-12-10. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1021,2025-11-22,2025-12-21,Orion Logistics LLC,Cold Chain Delivery,13000,Paid,TRN34567,5,2025-12-20,paid,"Invoice record: Invoice No. AR-1021, issued on 2025-11-22, from Orion Logistics LLC for Cold Chain Delivery. The original amount is 13000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-21 and paid date recorded as 2025-12-20. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1023,2025-11-26,2025-12-09,Zenith Constructions,Project Supervision,46000,Not paid,TRN56789,5,,overdue (10 days ago),"Invoice record: Invoice No. AR-1023, issued on 2025-11-26, from Zenith Constructions for Project Supervision. The original amount is 46000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-09 and paid date recorded as nan. Status: overdue (10 days ago). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1025,2025-12-02,2026-01-04,Alpha Trading LLC,Security Services,16000,Not paid,TRN12345,5,,future (16 days remaining),"Invoice record: Invoice No. AR-1025, issued on 2025-12-02, from Alpha Trading LLC for Security Services. The original amount is 16000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-04 and paid date recorded as nan. Status: future (16 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1027,2025-12-06,2025-12-19,Orion Logistics LLC,Customs Clearance,17800,Paid,TRN34567,5,2025-12-18,paid,"Invoice record: Invoice No. AR-1027, issued on 2025-12-06, from Orion Logistics LLC for Customs Clearance. The original amount is 17800 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-19 and paid date recorded as 2025-12-18. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1029,2025-12-10,2025-12-13,Zenith Constructions,Equipment Rental,22500,Not paid,TRN56789,5,,overdue (6 days ago),"Invoice record: Invoice No. AR-1029, issued on 2025-12-10, from Zenith Constructions for Equipment Rental. The original amount is 22500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-13 and paid date recorded as nan. Status: overdue (6 days ago). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1031,2025-12-14,2025-12-27,Alpha Trading LLC,Workforce Outsourcing,13100,Paid,TRN12345,5,2025-12-05,paid,"Invoice record: Invoice No. AR-1031, issued on 2025-12-14, from Alpha Trading LLC for Workforce Outsourcing. The original amount is 13100 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-27 and paid date recorded as 2025-12-05. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1033,2025-12-18,2025-12-21,Orion Logistics LLC,Last Mile Delivery,45500,Not paid,TRN34567,5,,upcoming (2 days remaining),"Invoice record: Invoice No. AR-1033, issued on 2025-12-18, from Orion Logistics LLC for Last Mile Delivery. The original amount is 45500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-21 and paid date recorded as nan. Status: upcoming (2 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1035,2025-12-22,2026-01-15,Zenith Constructions,Construction Materials,15900,Not paid,TRN56789,5,,future (27 days remaining),"Invoice record: Invoice No. AR-1035, issued on 2025-12-22, from Zenith Constructions for Construction Materials. The original amount is 15900 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-15 and paid date recorded as nan. Status: future (27 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1037,2025-12-10,2025-12-25,Alpha Trading LLC,Facility Management,17900,Paid,TRN12345,5,2025-12-07,paid,"Invoice record: Invoice No. AR-1037, issued on 2025-12-10, from Alpha Trading LLC for Facility Management. The original amount is 17900 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-25 and paid date recorded as 2025-12-07. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1039,2025-12-14,2025-12-09,Orion Logistics LLC,Bulk Transportation,23000,Not paid,TRN34567,5,,overdue (10 days ago),"Invoice record: Invoice No. AR-1039, issued on 2025-12-14, from Orion Logistics LLC for Bulk Transportation. The original amount is 23000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-09 and paid date recorded as nan. Status: overdue (10 days ago). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1055,2025-12-28,2026-01-03,Nova Tech Solutions,Cloud Migration Services,24400,Not paid,TRN77881,5,,future (15 days remaining),"Invoice record: Invoice No. AR-1055, issued on 2025-12-28, from Nova Tech Solutions for Cloud Migration Services. The original amount is 24400 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN77881 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-03 and paid date recorded as nan. Status: future (15 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1057,2025-12-29,2026-01-01,Nova Tech Solutions,IT Infrastructure Support,17400,Not paid,TRN77881,5,,future (13 days remaining),"Invoice record: Invoice No. AR-1057, issued on 2025-12-29, from Nova Tech Solutions for IT Infrastructure Support. The original amount is 17400 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN77881 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-01 and paid date recorded as nan. Status: future (13 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1041,2025-12-18,2025-12-27,Zenith Constructions,Structural Engineering,13200,Paid,TRN56789,5,2025-12-08,paid,"Invoice record: Invoice No. AR-1041, issued on 2025-12-18, from Zenith Constructions for Structural Engineering. The original amount is 13200 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-27 and paid date recorded as 2025-12-08. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1043,2025-12-22,2025-12-24,Alpha Trading LLC,Training Workshops,47000,Not paid,TRN12345,5,,upcoming (5 days remaining),"Invoice record: Invoice No. AR-1043, issued on 2025-12-22, from Alpha Trading LLC for Training Workshops. The original amount is 47000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-24 and paid date recorded as nan. Status: upcoming (5 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1045,2025-12-07,2026-01-07,Orion Logistics LLC,Supply Chain Optimization,16100,Not paid,TRN34567,5,,future (19 days remaining),"Invoice record: Invoice No. AR-1045, issued on 2025-12-07, from Orion Logistics LLC for Supply Chain Optimization. The original amount is 16100 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-07 and paid date recorded as nan. Status: future (19 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1047,2025-12-11,2025-12-25,Zenith Constructions,Renovation Works,18000,Paid,TRN56789,5,2025-12-12,paid,"Invoice record: Invoice No. AR-1047, issued on 2025-12-11, from Zenith Constructions for Renovation Works. The original amount is 18000 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-25 and paid date recorded as 2025-12-12. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1049,2025-12-15,2025-12-20,Alpha Trading LLC,Software Development,23500,Not paid,TRN12345,5,,upcoming (1 days remaining),"Invoice record: Invoice No. AR-1049, issued on 2025-12-15, from Alpha Trading LLC for Software Development. The original amount is 23500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-20 and paid date recorded as nan. Status: upcoming (1 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
