Invoice No.,Invoice Date,Due Date,Customer Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Notes
INV-1028,2025-09-08,2025-10-10,Delta Foods Co.,Snack Supply,6500,Not paid,TRN45678,5,,
INV-1029,2025-09-10,2025-09-13,Zenith Constructions,Equipment Rental,22500,Overdue,TRN56789,5,,
INV-1030,2025-09-12,2025-09-24,Omega Pharma Ltd,Vaccine Distribution,9100,Paid,TRN67890,5,2025-09-23,
INV-1031,2025-09-14,2025-09-27,Alpha Trading LLC,Workforce Outsourcing,13100,Paid,TRN12345,5,2025-09-26,
INV-1032,2025-09-16,2025-10-08,Beta Electronics FZC,Data Center Services,9900,Not paid,TRN23456,5,,
INV-1033,2025-09-18,2025-09-21,Orion Logistics LLC,Last Mile Delivery,45500,Overdue,TRN34567,5,,
INV-1034,2025-09-20,2025-09-26,Delta Foods Co.,Coffee Supply,2700,Paid,TRN45678,5,2025-09-25,
INV-1035,2025-09-22,2025-10-15,Zenith Constructions,Construction Materials,15900,Not paid,TRN56789,5,,
INV-1036,2025-09-24,2025-09-20,Omega Pharma Ltd,Clinical Trial Kits,10600,Overdue,TRN67890,5,,
INV-1037,2025-09-10,2025-09-25,Alpha Trading LLC,Facility Management,17900,Paid,TRN12345,5,2025-09-24,
INV-1038,2025-09-12,2025-10-02,Beta Electronics FZC,Software Licensing,6600,Not paid,TRN23456,5,,
INV-1039,2025-09-14,2025-09-17,Orion Logistics LLC,Bulk Transportation,23000,Overdue,TRN34567,5,,
INV-1040,2025-09-16,2025-09-23,Delta Foods Co.,Beverage Supply,9200,Paid,TRN45678,5,2025-09-22,
INV-1041,2025-09-18,2025-09-27,Zenith Constructions,Structural Engineering,13200,Paid,TRN56789,5,2025-09-26,
INV-1042,2025-09-20,2025-10-12,Omega Pharma Ltd,Healthcare IT Support,10000,Not paid,TRN67890,5,,
INV-1043,2025-09-22,2025-09-24,Alpha Trading LLC,Training Workshops,47000,Overdue,TRN12345,5,,
INV-1044,2025-09-05,2025-09-19,Beta Electronics FZC,IT Infrastructure Setup,2800,Paid,TRN23456,5,2025-09-18,
INV-1045,2025-09-07,2025-10-06,Orion Logistics LLC,Supply Chain Optimization,16100,Not paid,TRN34567,5,,
INV-1046,2025-09-09,2025-09-22,Delta Foods Co.,Dry Goods Supply,10700,Overdue,TRN45678,5,,
INV-1047,2025-09-11,2025-09-25,Zenith Constructions,Renovation Works,18000,Paid,TRN56789,5,2025-09-24,
INV-1048,2025-09-13,2025-10-04,Omega Pharma Ltd,Hospital Supplies,6700,Not paid,TRN67890,5,,
INV-1049,2025-09-15,2025-09-20,Alpha Trading LLC,Software Development,23500,Overdue,TRN12345,5,,
INV-1050,2025-09-17,2025-09-26,Beta Electronics FZC,Technical Support,9400,Paid,TRN23456,5,2025-09-25,
